"EasyTransac Cards","Cartes EasyTransac"
"Transaction has been status","La transaction a le statut"
"Notified customer about invoice creation #%1.","Client informé de la création de la facture #%1."
"Invoice Generated Successfully","Facture générée avec succès"
"Required Data is missing in the API payload","Les données requises sont manquantes dans la charge utile de l'API"
"Error While Placing Order.","Erreur lors de la commande."
"No authorization transaction to proceed capture.","Aucune transaction d'autorisation pour procéder à la capture."
%1,%1
"EasyTransac error response.","Réponse d'erreur EasyTransac."
"Could not save the card: %1","Impossible d'enregistrer la carte : %1"
"The CC details with the ""%1"" ID doesn't exist.","Les détails CC avec l'ID ""%1"" n'existent pas."
"No order exists with this ID. Verify your information and try again.","Aucune commande n'existe avec cet ID. Vérifiez vos informations et réessayez."
Type,Taper
Number,Numéro
"Expires At","Expire à"
"ending with %1","se terminant par %1"
"You have not any saved cards.","Vous n'avez aucune carte enregistrée."
"ends with","se termine par"
"Expires : ","Expire : "
"Save the payment data for future use.","Enregistrez les données de paiement pour une utilisation future."
"What is this?","Qu'est-ce que c'est?"
"We store your payment information securely.","Nous stockons vos informations de paiement en toute sécurité."
"Place Order","Passer la commande"
"Select Installments & Pay","Sélectionnez les versements et le paiement"
"Card Payment With Easytransac","Paiement par carte avec Easytransac"
"Pay in Several Instalments with Easytransac","Payez en plusieurs fois avec Easytransac"
EasyTransac,Easy Transac
"Api Key","Clé API"
"Notification URL","URL des notifications"
Debug,Déboguer
"Payment from Applicable Countries","Paiement depuis les pays concernés"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"Display Easytransac Icon at Checkout","Afficher l'icône Easytransac à la caisse"
"Credit Card Configuration","Configuration de la carte de crédit"
Enabled,Activé
"Enable OneClick for Card Payments","Activer OneClick pour les paiements par carte"
"Minimum Order Total","Total minimum de la commande"
"Sort Order","Ordre de tri"
"Installment Configuration","Configuration de versement"
"Available MultiPayment Installments","Versements multi-paiements disponibles"
